order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Overview,Welcome,introduction/welcome,info-circle,/lessons/introduction/welcome,""
01B,Overview,Prerequisites,introduction/prerequisites,info-circle,/lessons/introduction/prerequisites,""
02EA,Data and Model Versioning,Exercise Intro,data-and-model-versioning/exercise-intro,info-circle,/lessons/data-and-model-versioning/exercise-intro,""
02EB,Data and Model Versioning,Initialization,data-and-model-versioning/initialization,info-circle,/lessons/data-and-model-versioning/initialization,""
02EC,Data and Model Versioning,Tracking,data-and-model-versioning/tracking,info-circle,/lessons/data-and-model-versioning/tracking,""
02ED,Data and Model Versioning,Remote,data-and-model-versioning/remote,info-circle,/lessons/data-and-model-versioning/remote,""
02EE,Data and Model Versioning,Versions,data-and-model-versioning/versions,info-circle,/lessons/data-and-model-versioning/versions,""
02EF,Data and Model Versioning,Import,data-and-model-versioning/import,info-circle,/lessons/data-and-model-versioning/import,""
02IA,Data and Model Versioning,Introduction,data-and-model-versioning/introduction,info-circle,/lessons/data-and-model-versioning/introduction,""
02LA,Data and Model Versioning,Lecture Intro,data-and-model-versioning/lecture-intro,info-circle,/lessons/data-and-model-versioning/lecture-intro,""
02LB,Data and Model Versioning,Motivation,data-and-model-versioning/motivation,info-circle,/lessons/data-and-model-versioning/motivation,""
02LC,Data and Model Versioning,Complexity of Data Science Projects,data-and-model-versioning/complexity-of-data-science-projects,info-circle,/lessons/data-and-model-versioning/complexity-of-data-science-projects,""
02LD,Data and Model Versioning,Levels of Data Versioning,data-and-model-versioning/levels-of-data-versioning,info-circle,/lessons/data-and-model-versioning/levels-of-data-versioning,""
02LE,Data and Model Versioning,Data Version Operations,data-and-model-versioning/data-version-operations,info-circle,/lessons/data-and-model-versioning/data-version-operations,""
02LF,Data and Model Versioning,Storage Cost,data-and-model-versioning/storage-cost,info-circle,/lessons/data-and-model-versioning/storage-cost,""
02LG,Data and Model Versioning,Data Formats,data-and-model-versioning/data-formats,info-circle,/lessons/data-and-model-versioning/data-formats,""
02LH,Data and Model Versioning,Storage Architectures,data-and-model-versioning/storage-architectures,info-circle,/lessons/data-and-model-versioning/storage-architectures,""
02LI,Data and Model Versioning,Metadata,data-and-model-versioning/metadata,info-circle,/lessons/data-and-model-versioning/metadata,""
02LJ,Data and Model Versioning,Data Stages,data-and-model-versioning/data-stages,info-circle,/lessons/data-and-model-versioning/data-stages,""
02LK,Data and Model Versioning,Summary,data-and-model-versioning/summary,info-circle,/lessons/data-and-model-versioning/summary,""
03A,Containers and Docker,Introduction,containers-and-docker/introduction,info-circle,/lessons/containers-and-docker/introduction,""
03B,Containers and Docker,Notes,containers-and-docker/notes,info-circle,/lessons/containers-and-docker/notes,""
03C,Containers and Docker,Exercise Setup,containers-and-docker/exercise-setup,info-circle,/lessons/containers-and-docker/exercise-setup,""
03D,Containers and Docker,Exercise Dockerfile,containers-and-docker/exercise-dockerfile,info-circle,/lessons/containers-and-docker/exercise-dockerfile,""
03E,Containers and Docker,Exercise Build,containers-and-docker/exercise-build,info-circle,/lessons/containers-and-docker/exercise-build,""
03F,Containers and Docker,Exercise Run,containers-and-docker/exercise-run,info-circle,/lessons/containers-and-docker/exercise-run,""
03G,Containers and Docker,Exercise Push Pull,containers-and-docker/exercise-push-pull,info-circle,/lessons/containers-and-docker/exercise-push-pull,""
03H,Containers and Docker,Exercise Cleanup,containers-and-docker/exercise-cleanup,info-circle,/lessons/containers-and-docker/exercise-cleanup,""
04EA,MLOps Projects Overview,Exercise Intro,mlops-projects-overview/exercise-intro,info-circle,/lessons/mlops-projects-overview/exercise-intro,""
04EB,MLOps Projects Overview,Cookiecutter Setup,mlops-projects-overview/cookiecutter-setup,info-circle,/lessons/mlops-projects-overview/cookiecutter-setup,""
04EC,MLOps Projects Overview,Project Structure,mlops-projects-overview/project-structure,info-circle,/lessons/mlops-projects-overview/project-structure,""
04ED,MLOps Projects Overview,Project Teaser,mlops-projects-overview/project-teaser,info-circle,/lessons/mlops-projects-overview/project-teaser,""
04EE,MLOps Projects Overview,Collaboration,mlops-projects-overview/collaboration,info-circle,/lessons/mlops-projects-overview/collaboration,""
04IA,MLOps Projects Overview,Introduction,mlops-projects-overview/introduction,info-circle,/lessons/mlops-projects-overview/introduction,""
04LA,MLOps Projects Overview,Lecture Intro,mlops-projects-overview/lecture-intro,info-circle,/lessons/mlops-projects-overview/lecture-intro,""
04LB,MLOps Projects Overview,MLOps vs DevOps,mlops-projects-overview/mlops-vs-devops,info-circle,/lessons/mlops-projects-overview/mlops-vs-devops,""
